Filename                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
nexa-app\src\about.rs                   416               416     0.00%           8                 8     0.00%         278               278     0.00%           0                 0         -
nexa-app\src\archivewnd.rs              515               361    29.90%          23                12    47.83%         302               221    26.82%           0                 0         -
nexa-app\src\bulkrename.rs             2417              2417     0.00%          84                84     0.00%        1696              1696     0.00%           0                 0         -
nexa-app\src\clipboard.rs              1455               630    56.70%          73                36    50.68%         905               400    55.80%           0                 0         -
nexa-app\src\cloud.rs                   308               218    29.22%          20                16    20.00%         192               146    23.96%           0                 0         -
nexa-app\src\cloudfs.rs                2159              1764    18.30%         111                77    30.63%        1312              1106    15.70%           0                 0         -
nexa-app\src\config.rs                 1675                96    94.27%          66                 8    87.88%         999                51    94.89%           0                 0         -
nexa-app\src\conpty.rs                  256               256     0.00%           7                 7     0.00%         202               202     0.00%           0                 0         -
nexa-app\src\ctl\base.rs                 44                44     0.00%           6                 6     0.00%          36                36     0.00%           0                 0         -
nexa-app\src\ctl\button.rs              229               229     0.00%           5                 5     0.00%         147               147     0.00%           0                 0         -
nexa-app\src\ctl\checkbox.rs            244               244     0.00%           6                 6     0.00%         148               148     0.00%           0                 0         -
nexa-app\src\ctl\combobox.rs            583               583     0.00%          17                17     0.00%         355               355     0.00%           0                 0         -
nexa-app\src\ctl\fontbox.rs             932               893     4.18%          31                29     6.45%         605               590     2.48%           0                 0         -
nexa-app\src\ctl\gdipctx.rs             774               456    41.09%          31                25    19.35%         475               295    37.89%           0                 0         -
nexa-app\src\ctl\grid.rs               1431              1431     0.00%          45                45     0.00%         770               770     0.00%           0                 0         -
nexa-app\src\ctl\groupcard.rs           253               253     0.00%           8                 8     0.00%         159               159     0.00%           0                 0         -
nexa-app\src\ctl\iconbutton.rs          306               306     0.00%           7                 7     0.00%         195               195     0.00%           0                 0         -
nexa-app\src\ctl\label.rs               126               126     0.00%           3                 3     0.00%          83                83     0.00%           0                 0         -
nexa-app\src\ctl\menubutton.rs          540               540     0.00%          16                16     0.00%         355               355     0.00%           0                 0         -
nexa-app\src\ctl\ordertree.rs          1111              1111     0.00%          53                53     0.00%         686               686     0.00%           0                 0         -
nexa-app\src\ctl\searchbox.rs           293               293     0.00%           7                 7     0.00%         167               167     0.00%           0                 0         -
nexa-app\src\ctl\segmented.rs           379               379     0.00%          16                16     0.00%         237               237     0.00%           0                 0         -
nexa-app\src\ctl\spin.rs                408               408     0.00%          10                10     0.00%         251               251     0.00%           0                 0         -
nexa-app\src\ctl\style.rs                99                99     0.00%           6                 6     0.00%          65                65     0.00%           0                 0         -
nexa-app\src\ctl\textbox.rs             255               255     0.00%           8                 8     0.00%         168               168     0.00%           0                 0         -
nexa-app\src\ctldemo.rs                 389               389     0.00%           6                 6     0.00%         327               327     0.00%           0                 0         -
nexa-app\src\dialog.rs                  751               751     0.00%          23                23     0.00%         565               565     0.00%           0                 0         -
nexa-app\src\dnd.rs                     433               252    41.80%          30                21    30.00%         323               221    31.58%           0                 0         -
nexa-app\src\dw.rs                     1043              1043     0.00%          43                43     0.00%         653               653     0.00%           0                 0         -
nexa-app\src\fontchain.rs               305               281     7.87%          24                20    16.67%         179               162     9.50%           0                 0         -
nexa-app\src\fsprobe.rs                 281                 8    97.15%          16                 1    93.75%         145                 6    95.86%           0                 0         -
nexa-app\src\i18n.rs                    409                14    96.58%          28                 3    89.29%         191                10    94.76%           0                 0         -
nexa-app\src\icon.rs                     64                64     0.00%           2                 2     0.00%          29                29     0.00%           0                 0         -
nexa-app\src\icons.rs                   558               274    50.90%          38                20    47.37%         297               163    45.12%           0                 0         -
nexa-app\src\launcher.rs                191               191     0.00%          25                25     0.00%         140               140     0.00%           0                 0         -
nexa-app\src\main.rs                      7                 7     0.00%           1                 1     0.00%           6                 6     0.00%           0                 0         -
nexa-app\src\nav.rs                     140                 1    99.29%          12                 0   100.00%          72                 1    98.61%           0                 0         -
nexa-app\src\oauth.rs                  1348               666    50.59%          75                40    46.67%         780               432    44.62%           0                 0         -
nexa-app\src\ordereditor.rs             478               478     0.00%          18                18     0.00%         300               300     0.00%           0                 0         -
